entity_id,friendly_name,domain,area_id,area_name,state,suggested_usage,reason
light.decora_smart_800_series_dimmer,Foyer dimmer ,light,entry,Entry,off,both,"MAP: Room glows when on | CONTROL: Toggle, brightness"
light.game_room_dimmer,Game room Dimmer ,light,living_room,Living Room,off,both,"MAP: Room glows when on | CONTROL: Toggle, brightness"
light.sonoff_1001f721e0_1,Guest 2 fan,light,guest_room,Guest room,unavailable,both,"MAP: Room glows when on | CONTROL: Toggle, brightness"
light.sonoff_1001f72743_1,Guest 3 fan,light,guest_room,Guest room,unavailable,both,"MAP: Room glows when on | CONTROL: Toggle, brightness"
light.guest_dimmer,Guest Dimmer ,light,guest_room,Guest room,off,both,"MAP: Room glows when on | CONTROL: Toggle, brightness"
light.kitchen_dimmer,Kitchen dimmer ,light,kitchen,Kitchen,off,both,"MAP: Room glows when on | CONTROL: Toggle, brightness"
light.sonoff_1001f72185_1,Living room fan,light,living_room,Living Room,unavailable,both,"MAP: Room glows when on | CONTROL: Toggle, brightness"
light.living_room_lamp_light_2,Living room lamp light 2,light,living_room,Living Room,unavailable,both,"MAP: Room glows when on | CONTROL: Toggle, brightness"
light.master_dimmer,Master Dimmer ,light,master,Master,off,both,"MAP: Room glows when on | CONTROL: Toggle, brightness"
light.master_bath_lights,Master bath lights ,light,master,Master,off,both,"MAP: Room glows when on | CONTROL: Toggle, brightness"
light.sonoff_1001f724be_1,Master fan ,light,master,Master,unavailable,both,"MAP: Room glows when on | CONTROL: Toggle, brightness"
light.nursery_dimmer,Nursery Dimmer ,light,nursery,Nursery,off,both,"MAP: Room glows when on | CONTROL: Toggle, brightness"
light.sonoff_1001f721db_1,Nursery fan,light,nursery,Nursery,unavailable,both,"MAP: Room glows when on | CONTROL: Toggle, brightness"
light.nursery_lamp,Nursery lamp,light,nursery,Nursery,unavailable,both,"MAP: Room glows when on | CONTROL: Toggle, brightness"
light.nursery_lamp_2,Nursery lamp 2,light,office,Office,on,both,"MAP: Room glows when on | CONTROL: Toggle, brightness"
light.office_bulb_1,Office bulb 1,light,office,Office,unavailable,both,"MAP: Room glows when on | CONTROL: Toggle, brightness"
light.office_led_lamp,Office led lamp,light,office,Office,on,both,"MAP: Room glows when on | CONTROL: Toggle, brightness"
light.sean_fan_dimmer,Sean fan dimmer ,light,bedroom,Bedroom,off,both,"MAP: Room glows when on | CONTROL: Toggle, brightness"
light.sean_light_2,Sean light 2 ,light,bedroom,Bedroom,off,both,"MAP: Room glows when on | CONTROL: Toggle, brightness"
media_player.googlehome9064,Bedroom speaker,media_player,bedroom,Bedroom,off,both,"MAP: Show playing icon | CONTROL: Play/pause, volume"
media_player.home_group,Home group,media_player,living_room,Living Room,off,both,"MAP: Show playing icon | CONTROL: Play/pause, volume"
media_player.lab_and_kitchen,Lab and kitchen,media_player,kitchen,Kitchen,off,both,"MAP: Show playing icon | CONTROL: Play/pause, volume"
media_player.googlehome8763,Living Room speaker 2,media_player,living_room,Living Room,off,both,"MAP: Show playing icon | CONTROL: Play/pause, volume"
media_player.louder_louder_esp32,Louder Louder‑ESP32,media_player,,,unavailable,both,"MAP: Show playing icon | CONTROL: Play/pause, volume"
media_player.googlehome5789,Nursery speaker,media_player,nursery,Nursery,off,both,"MAP: Show playing icon | CONTROL: Play/pause, volume"
media_player.office_party,Office party,media_player,office,Office,off,both,"MAP: Show playing icon | CONTROL: Play/pause, volume"
media_player.office_speaker,Office speaker,media_player,office,Office,off,both,"MAP: Show playing icon | CONTROL: Play/pause, volume"
media_player.samsung_7_series_55,Samsung 7 Series (55),media_player,living_room,Living Room,off,both,"MAP: Show playing icon | CONTROL: Play/pause, volume"
media_player.samsung_the_frame_43,Samsung The Frame 43,media_player,living_room,Living Room,unavailable,both,"MAP: Show playing icon | CONTROL: Play/pause, volume"
media_player.samsung_the_frame_43_2,Samsung The Frame 43,media_player,living_room,Living Room,off,both,"MAP: Show playing icon | CONTROL: Play/pause, volume"
media_player.googlehome2236,Sean,media_player,,,off,both,"MAP: Show playing icon | CONTROL: Play/pause, volume"
media_player.tv_living_room_tv,[TV] living room tv,media_player,living_room,Living Room,unavailable,both,"MAP: Show playing icon | CONTROL: Play/pause, volume"
media_player.lab_display,lab display,media_player,lab,Lab,off,both,"MAP: Show playing icon | CONTROL: Play/pause, volume"
media_player.living_room_tv,living room tv,media_player,living_room,Living Room,off,both,"MAP: Show playing icon | CONTROL: Play/pause, volume"
media_player.googlehome4264,media_player.googlehome4264,media_player,,,unavailable,both,"MAP: Show playing icon | CONTROL: Play/pause, volume"
media_player.nursery_speaker,media_player.nursery_speaker,media_player,nursery,Nursery,unavailable,both,"MAP: Show playing icon | CONTROL: Play/pause, volume"
sensor.sean_room_battery, Sean room Battery,sensor,bedroom,Bedroom,62.5,remove,Diagnostic/internal - not useful for dashboard
sensor.1_mini_split_energy_this_month,1. mini split Energy This Month,sensor,lab,Lab,94.6253493349542,remove,Diagnostic/internal - not useful for dashboard
sensor.1_mini_split_energy_today,1. mini split Energy Today,sensor,lab,Lab,0,remove,Diagnostic/internal - not useful for dashboard
sensor.1_mini_split_power_minute_average,1. mini split Power Minute Average,sensor,lab,Lab,0,remove,Diagnostic/internal - not useful for dashboard
sensor.10_master_energy_this_month,10. master Energy This Month,sensor,master,Master,13.0105176513651,remove,Diagnostic/internal - not useful for dashboard
sensor.10_master_energy_today,10. master Energy Today,sensor,master,Master,0,remove,Diagnostic/internal - not useful for dashboard
sensor.10_master_power_minute_average,10. master Power Minute Average,sensor,master,Master,0,remove,Diagnostic/internal - not useful for dashboard
sensor.11_oven_energy_this_month,11. oven Energy This Month,sensor,kitchen,Kitchen,2.25372319751316e-05,remove,Diagnostic/internal - not useful for dashboard
sensor.11_oven_energy_today,11. oven Energy Today,sensor,kitchen,Kitchen,0,remove,Diagnostic/internal - not useful for dashboard
sensor.11_oven_power_minute_average,11. oven Power Minute Average,sensor,kitchen,Kitchen,0,remove,Diagnostic/internal - not useful for dashboard
sensor.12_energy_this_month,12. Energy This Month,sensor,,,0,remove,Diagnostic/internal - not useful for dashboard
sensor.12_energy_today,12. Energy Today,sensor,,,0,remove,Diagnostic/internal - not useful for dashboard
sensor.12_power_minute_average,12. Power Minute Average,sensor,,,0,remove,Diagnostic/internal - not useful for dashboard
sensor.13_energy_this_month,13. Energy This Month,sensor,,,0,remove,Diagnostic/internal - not useful for dashboard
sensor.13_energy_today,13. Energy Today,sensor,,,0,remove,Diagnostic/internal - not useful for dashboard
sensor.13_power_minute_average,13. Power Minute Average,sensor,,,0,remove,Diagnostic/internal - not useful for dashboard
sensor.14_energy_this_month,14. Energy This Month,sensor,,,0,remove,Diagnostic/internal - not useful for dashboard
sensor.14_energy_today,14. Energy Today,sensor,,,0,remove,Diagnostic/internal - not useful for dashboard
sensor.14_power_minute_average,14. Power Minute Average,sensor,,,0,remove,Diagnostic/internal - not useful for dashboard
sensor.15_energy_this_month,15. Energy This Month,sensor,,,0,remove,Diagnostic/internal - not useful for dashboard
sensor.15_energy_today,15. Energy Today,sensor,,,0,remove,Diagnostic/internal - not useful for dashboard
sensor.15_power_minute_average,15. Power Minute Average,sensor,,,0,remove,Diagnostic/internal - not useful for dashboard
sensor.16_energy_this_month,16. Energy This Month,sensor,,,0,remove,Diagnostic/internal - not useful for dashboard
sensor.16_energy_today,16. Energy Today,sensor,,,0,remove,Diagnostic/internal - not useful for dashboard
sensor.16_power_minute_average,16. Power Minute Average,sensor,,,0,remove,Diagnostic/internal - not useful for dashboard
sensor.2_lab_plug_1_energy_this_month,2. lab plug 1 Energy This Month,sensor,lab,Lab,244.822709776991,remove,Diagnostic/internal - not useful for dashboard
sensor.2_lab_plug_1_energy_today,2. lab plug 1 Energy Today,sensor,lab,Lab,0,remove,Diagnostic/internal - not useful for dashboard
sensor.2_lab_plug_1_power_minute_average,2. lab plug 1 Power Minute Average,sensor,lab,Lab,0,remove,Diagnostic/internal - not useful for dashboard
sensor.3_lab_plug_2_energy_this_month,3. lab plug 2 Energy This Month,sensor,lab,Lab,208.675830522173,remove,Diagnostic/internal - not useful for dashboard
sensor.3_lab_plug_2_energy_today,3. lab plug 2 Energy Today,sensor,lab,Lab,0,remove,Diagnostic/internal - not useful for dashboard
sensor.3_lab_plug_2_power_minute_average,3. lab plug 2 Power Minute Average,sensor,lab,Lab,0,remove,Diagnostic/internal - not useful for dashboard
sensor.4_ac2_energy_this_month,4. ac2 Energy This Month,sensor,bedroom,Bedroom,11.7034811213048,remove,Diagnostic/internal - not useful for dashboard
sensor.4_ac2_energy_today,4. ac2 Energy Today,sensor,bedroom,Bedroom,0,remove,Diagnostic/internal - not useful for dashboard
sensor.4_ac2_power_minute_average,4. ac2 Power Minute Average,sensor,bedroom,Bedroom,0,remove,Diagnostic/internal - not useful for dashboard
sensor.5_ac1_energy_this_month,5. ac1 Energy This Month,sensor,living_room,Living Room,51.852415698577,remove,Diagnostic/internal - not useful for dashboard
sensor.5_ac1_energy_today,5. ac1 Energy Today,sensor,living_room,Living Room,0,remove,Diagnostic/internal - not useful for dashboard
sensor.5_ac1_power_minute_average,5. ac1 Power Minute Average,sensor,living_room,Living Room,0,remove,Diagnostic/internal - not useful for dashboard
sensor.6_garage_gfi_energy_this_month,6. garage gfi Energy This Month,sensor,garage,Garage,69.7308844182141,remove,Diagnostic/internal - not useful for dashboard
sensor.6_garage_gfi_energy_today,6. garage gfi Energy Today,sensor,garage,Garage,0,remove,Diagnostic/internal - not useful for dashboard
sensor.6_garage_gfi_power_minute_average,6. garage gfi Power Minute Average,sensor,garage,Garage,0,remove,Diagnostic/internal - not useful for dashboard
sensor.7_furnace_energy_this_month,7. furnace Energy This Month,sensor,living_room,Living Room,24.6523612285201,remove,Diagnostic/internal - not useful for dashboard
sensor.7_furnace_energy_today,7. furnace Energy Today,sensor,living_room,Living Room,0,remove,Diagnostic/internal - not useful for dashboard
sensor.7_furnace_power_minute_average,7. furnace Power Minute Average,sensor,living_room,Living Room,0,remove,Diagnostic/internal - not useful for dashboard
sensor.8_garage_gfi_energy_this_month,8. garage gfi Energy This Month,sensor,garage,Garage,0,remove,Diagnostic/internal - not useful for dashboard
sensor.8_garage_gfi_energy_today,8. garage gfi Energy Today,sensor,garage,Garage,0,remove,Diagnostic/internal - not useful for dashboard
sensor.8_garage_gfi_power_minute_average,8. garage gfi Power Minute Average,sensor,garage,Garage,0,remove,Diagnostic/internal - not useful for dashboard
sensor.800_series_long_range_usb_controller_status,800 Series Long Range USB Controller Status,sensor,,,ready,remove,"Sensor data - likely diagnostic, review if needed"
sensor.9_living_room_energy_this_month,9. living room Energy This Month,sensor,living_room,Living Room,35.5424476323064,remove,Diagnostic/internal - not useful for dashboard
sensor.9_living_room_energy_today,9. living room Energy Today,sensor,living_room,Living Room,0,remove,Diagnostic/internal - not useful for dashboard
sensor.9_living_room_power_minute_average,9. living room Power Minute Average,sensor,living_room,Living Room,0,remove,Diagnostic/internal - not useful for dashboard
sensor.alex_note_25_battery_level,Alex note 25 Battery level,sensor,,,22,remove,Diagnostic/internal - not useful for dashboard
sensor.alex_note_25_battery_state,Alex note 25 Battery state,sensor,,,discharging,remove,Diagnostic/internal - not useful for dashboard
sensor.alex_note_25_charger_type,Alex note 25 Charger type,sensor,,,none,remove,"Sensor data - likely diagnostic, review if needed"
sensor.auto_light_hours,Auto Light Hours,sensor,,,12,map,MAP: Show brightness level
sensor.automation_suggestions_count,Automation Suggestions Count,sensor,,,1,remove,"Sensor data - likely diagnostic, review if needed"
sensor.automation_suggestions_last_analysis,Automation Suggestions Last analysis,sensor,,,2026-01-30T01:54:09+00:00,remove,"Sensor data - likely diagnostic, review if needed"
sensor.automation_suggestions_stale_automations_count,Automation Suggestions Stale Automations Count,sensor,,,0,remove,"Sensor data - likely diagnostic, review if needed"
sensor.automation_suggestions_top,Automation Suggestions Top,sensor,,,1,remove,"Sensor data - likely diagnostic, review if needed"
sensor.avg_flower_humidity,Avg Flower Humidity,sensor,,,68.73,map,MAP: Show humidity percentage
sensor.avg_flower_temp,Avg Flower Temp,sensor,,,75.9,map,MAP: Show temperature on room
sensor.back_back_daily_active_watering_time,Back back Daily active watering time,sensor,,,0.0,remove,"Sensor data - likely diagnostic, review if needed"
sensor.back_back_next_cycle,Back back Next cycle,sensor,,,2026-02-07T10:45:00+00:00,remove,"Sensor data - likely diagnostic, review if needed"
sensor.back_back_remaining_watering_time,Back back Remaining watering time,sensor,,,0,remove,"Sensor data - likely diagnostic, review if needed"
sensor.back_door_sensor_node_status,Back door sensor Node status,sensor,entry,Entry,asleep,remove,Diagnostic/internal - not useful for dashboard
sensor.backup_backup_manager_state,Backup Backup Manager state,sensor,,,idle,remove,"Sensor data - likely diagnostic, review if needed"
sensor.backup_last_attempted_automatic_backup,Backup Last attempted automatic backup,sensor,,,2026-01-30T11:27:47+00:00,map,MAP: Show temperature on room
sensor.backup_last_successful_automatic_backup,Backup Last successful automatic backup,sensor,,,2026-01-30T11:28:39+00:00,remove,"Sensor data - likely diagnostic, review if needed"
sensor.backup_next_scheduled_automatic_backup,Backup Next scheduled automatic backup,sensor,,,2026-01-31T10:46:00+00:00,remove,"Sensor data - likely diagnostic, review if needed"
sensor.backup_state,Backup State,sensor,,,backed_up,remove,"Sensor data - likely diagnostic, review if needed"
sensor.backyard_floodlights_node_status,Backyard floodlights Node status,sensor,patio,patio,dead,remove,Diagnostic/internal - not useful for dashboard
sensor.balance_energy_this_month,Balance Energy This Month,sensor,,,328.230140327911,remove,Diagnostic/internal - not useful for dashboard
sensor.balance_energy_today,Balance Energy Today,sensor,,,0,remove,Diagnostic/internal - not useful for dashboard
sensor.breakfast_closet_door_battery,Breakfast closet door Battery,sensor,kitchen,Kitchen,91.5,remove,Diagnostic/internal - not useful for dashboard
sensor.breakfast_dimmer_node_status,Breakfast dimmer Node status,sensor,kitchen,Kitchen,alive,remove,Diagnostic/internal - not useful for dashboard
sensor.breakfast_pantry_switch_node_status,Breakfast pantry Switch Node status,sensor,kitchen,Kitchen,alive,remove,Diagnostic/internal - not useful for dashboard
sensor.co_bend_energy_this_month,Co. Bend Energy This Month,sensor,,,1082.84616024955,remove,Diagnostic/internal - not useful for dashboard
sensor.co_bend_energy_today,Co. Bend Energy Today,sensor,,,0,remove,Diagnostic/internal - not useful for dashboard
sensor.co_bend_power_minute_average,Co. Bend Power Minute Average,sensor,,,0,remove,Diagnostic/internal - not useful for dashboard
sensor.coffee_instantaneous_demand,Coffee Instantaneous demand,sensor,,,0.0,remove,"Sensor data - likely diagnostic, review if needed"
sensor.coffee_summation_delivered,Coffee Summation delivered,sensor,,,1.2767,remove,"Sensor data - likely diagnostic, review if needed"
sensor.node_85_node_status,Decora Smart 800 Series Dimmer Node status,sensor,,,dead,remove,Diagnostic/internal - not useful for dashboard
